COISAS	B-OUTRO
juvenis	O
,	O
justamente	O
por	O
conta	O
do	O
conteúdo	O
racista.	O
Traz	O
na	O
capa	O
um	O
alerta.	O
Já	O
velho	O
,	O
antes	O
de	O
morrer	O
,	O
Hergé	B-PESSOA
falou	O
da	O
obra.	O
''	O
Quando	O
jovem	O
,	O
disse	O
,	O
``	O
fui	O
muito	O
influenciado	O
pelos	O
preconceitos	O
e	O
estereótipos	O
burgueses	O
do	O
tempo.	O
Ele	O
listava	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
entre	O
seus	O
pecados	O
de	O
juventude.	O
Hergé	B-PESSOA
é	O
autor	O
de	O
algumas	O
das	O
coisas	O
mais	O
geniais	O
e	O
profundas	O
da	O
história	O
dos	O
quadrinhos.	O
Inclua-se	O
na	O
lista	O
sua	O
obra	O
prima	O
,	O
Tintim	B-OBRA
no	I-OBRA
Tibete	I-OBRA
,	O
na	O
qual	O
o	O
jovem	O
repórter	O
embrenha-se	O
pelas	O
montanhas	O
geladas	O
na	O
tentativa	O
de	O
encontrar	O
Chang	B-PESSOA
,	O
seu	O
amigo	O
chinês	O
,	O
único	O
sobrevivente	O
de	O
um	O
acidente	O
de	O
avião.	O
O	O
livro	O
,	O
de	B-TEMPO
1960	I-TEMPO
,	O
é	O
místico	O
,	O
orientalizado	O
,	O
respeitoso	O
-	O
tolerante	O
e	O
fascinado	O
com	O
o	O
encontro	O
de	O
culturas	O
distintas.	O
O	O
governo	O
britânico	O
não	O
está	O
censurando	O
:	O
pede	O
que	O
as	O
livrarias	O
cooperem	O
interrompendo	O
a	O
venda.	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
faz	O
parte	O
de	O
uma	O
coleção	O
de	O
23	B-VALOR
álbuns.	O
Se	O
é	O
mais	O
imaturo	O
-	O
e	O
é	O
-	O
também	O
é	O
um	O
retrato	O
de	O
como	O
a	O
burguesia	O
européia	O
via	O
o	O
resto	O
do	O
mundo	O
nos	B-TEMPO
anos	I-TEMPO
1930	I-TEMPO
.	O
Se	O
o	O
racismo	O
nos	O
incomoda	O
hoje	B-TEMPO
,	O
se	O
mesmo	O
racistas	O
envergonham-se	O
de	O
demonstrar	O
o	O
que	O
pensam	O
,	O
é	O
por	O
conta	O
de	O
tragédias	O
e	O
lutas	O
que	O
,	O
entre	O
o	O
Holocausto	B-ACONTECIMENTO
e	O
Luther	B-PESSOA
King	I-PESSOA
,	O
remodelaram	O
nossa	O
percepção	O
do	O
mundo.	O
Esquecer	O
que	O
o	O
racismo	O
era	O
natural	O
há	B-TEMPO
oitenta	I-TEMPO
anos	I-TEMPO
é	O
desdenhar	O
do	O
esforço	O
envolvido	O
em	O
dominá-lo.	O
Se	O
deixamos	O
de	O
ler	O
os	O
registros	O
cotidianos	O
daquele	B-TEMPO
tempo	I-TEMPO
-	O
como	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
-	O
,	O
estimulamos	O
este	O
esquecimento.	O
Nenhuma	O
obra	O
deve	O
ser	O
lida	O
ignorando	O
a	O
época	O
na	O
qual	O
foi	O
escrita.	O
O	O
intervalo	O
entre	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
e	O
Tintim	B-OBRA
no	I-OBRA
Tibete	I-OBRA
mostra	O
ao	O
leitor	O
de	O
Hergé	B-PESSOA
a	O
mudança	O
do	O
autor.	O
Certamente	O
ele	O
não	O
seria	O
lembrado	O
se	O
tivesse	O
deixado	O
apenas	O
aqueles	O
primeiros	O
álbuns.	O
Mas	O
como	O
cresceu	O
entre	O
um	O
e	O
outro.	O
Onde	O
ficam	O
as	O
Ilhas	B-LOCAL
Marquesas	I-LOCAL
?	O
De	O
que	O
organização	O
é	O
que	O
Javier	B-PESSOA
Solana	I-PESSOA
era	O
secretário-geral	O
?	O
O	O
que	O
é	O
a	O
EFTA	B-ORGANIZACAO
?	O
Quando	O
é	O
que	O
foi	O
criada	O
?	O
Que	O
cinco	O
países	O
da	O
EFTA	B-ORGANIZACAO
se	O
juntaram	O
ao	O
EEE	B-OBRA
''	I-OBRA
EEE	I-OBRA
quando	O
este	O
entrou	O
em	O
vigor	O
?	O
Qual	O
é	O
o	O
maior	O
banco	O
do	O
Japão	B-LOCAL
?	O
A	O
que	O
companhia	O
pertencia	O
o	O
Airbus	B-COISA
atacado	O
pelo	O
GIA	B-PESSOA
em	B-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Quem	O
é	O
Michael	B-PESSOA
Jackson	I-PESSOA
?	O
Diga	O
um	O
dos	O
grandes	O
sucessos	O
de	O
Michael	B-PESSOA
Jackson	I-PESSOA
?	O
Com	O
quem	O
é	O
que	O
ele	O
se	O
casou	O
em	B-TEMPO
Maio	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Qual	O
era	O
a	O
nacionalidade	O
de	O
Ayrton	B-PESSOA
Senna	I-PESSOA
?	O
Quantas	O
vezes	O
é	O
que	O
ele	O
foi	O
campeão	O
do	O
mundo	O
?	O
Quando	O
é	O
que	O
ele	O
morreu	O
?	O
Em	O
que	O
circuito	O
de	O
F1	B-ABSTRACCAO
é	O
que	O
ele	O
morreu	O
?	O
Quando	O
é	O
que	O
caiu	O
o	O
regime	O
comunista	O
do	O
Afeganistão	B-LOCAL
?	O
Quem	O
era	O
o	O
presidente	O
do	O
regime	O
comunista	O
do	O
Afeganistão	B-LOCAL
antes	O
dessa	O
queda	O
?	O
Quantos	O
casamentos	O
ocurreram	O
na	O
Grã-Bretanha	B-LOCAL
em	B-TEMPO
1993	I-TEMPO
?	O
O	O
que	O
é	O
o	O
IRA	B-ORGANIZACAO
?	O
Contra	O
que	O
aeroporto	O
londrino	O
o	O
IRA	B-ORGANIZACAO
lançou	O
um	O
ataque	O
de	O
morteiro	O
em	B-TEMPO
1994	I-TEMPO
?	O
Quando	O
é	O
que	O
foi	O
inaugurada	O
a	O
Ponte	B-LOCAL
da	O
Normandia	B-LOCAL
?	O
Quando	O
ocorreu	O
o	O
tremor	O
de	O
terra	O
em	O
Los	B-LOCAL
Angeles	I-LOCAL
?	O
Quem	O
é	O
Paul	B-PESSOA
Touvier	I-PESSOA
?	O
Quando	O
é	O
que	O
começou	O
o	O
julgamento	O
de	O
Paul	B-PESSOA
Touvier	I-PESSOA
?	O
Quando	O
é	O
que	O
foi	O
criado	O
o	O
Tribunal	B-ORGANIZACAO
Internacional	I-ORGANIZACAO
Penal	I-ORGANIZACAO
para	O
o	O
Ruanda	B-LOCAL
?	O
Quando	O
é	O
que	O
Liamine	B-PESSOA
Zéroul	I-PESSOA
foi	O
eleito	O
para	O
a	O
presidência	O
da	O
Argélia	B-LOCAL
?	O
Quando	O
é	O
que	O
a	O
Organização	B-OBRA
Mundial	I-OBRA
do	I-OBRA
Comércio	I-OBRA
entrou	O
em	O
vigor	O
?	O
Em	O
que	O
ano	O
nasceu	O
Richard	B-PESSOA
Nixon	I-PESSOA
?	O
Quando	O
é	O
que	O
o	O
antigo	O
Parlamento	B-LOCAL
da	O
Bretanha	B-LOCAL
foi	O
destruído	O
por	O
um	O
incêndio	O
?	O
Onde	O
fica	O
Lillehammer	B-LOCAL
?	O
Quando	O
é	O
que	O
Eduardo	B-PESSOA
Frei	I-PESSOA
se	O
tornou	O
presidente	B-PESSOA
do	I-PESSOA
Chile	I-PESSOA
?	O
Em	O
que	O
ano	O
é	O
que	O
Eugène	B-PESSOA
Ionesco	I-PESSOA
entrou	O
na	O
Academia	B-ORGANIZACAO
Francesa	I-ORGANIZACAO
?	O
Que	O
bispo	O
foi	O
suspenso	O
pelo	O
Vaticano	B-ORGANIZACAO
a	B-TEMPO
13	I-TEMPO
de	I-TEMPO
Fevereiro	I-TEMPO
de	I-TEMPO
1995	I-TEMPO
?	O
Em	O
França	B-LOCAL
,	O
quem	O
foi	O
nomeado	O
Primeiro	B-PESSOA
Ministro	I-PESSOA
a	B-TEMPO
17	I-TEMPO
de	I-TEMPO
Maio	I-TEMPO
de	I-TEMPO
1995	I-TEMPO
?	O
Onde	O
fica	O
Balcarce	B-LOCAL
?	O
Que	O
famoso	O
condutor	O
argentino	O
se	O
retirou	O
em	B-TEMPO
1958	I-TEMPO
?	O
Quem	O
ganhou	O
o	O
Torneio	B-ACONTECIMENTO
das	I-ACONTECIMENTO
Cinco	I-ACONTECIMENTO
Nações	I-ACONTECIMENTO
em	B-TEMPO
1994	I-TEMPO
?	O
Quem	O
ganhou	O
o	O
Óscar	B-OUTRO
de	O
melhor	O
filme	O
por	O
``	O
Forrest	B-OBRA
Gump	I-OBRA
``	O
?	O
Quem	O
ganhou	O
o	O
Prémio	B-OUTRO
Goncourt	I-OUTRO
em	B-TEMPO
1995	I-TEMPO
?	O
Quem	O
ganhou	O
o	O
Óscar	B-OUTRO
de	O
melhor	O
actor	O
em	B-TEMPO
1994	I-TEMPO
?	O
Quem	O
se	O
suicidou	O
a	B-TEMPO
8	I-TEMPO
de	I-TEMPO
Abril	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Que	O
duas	O
personalidades	O
famosas	O
presidiram	O
ao	O
júri	O
do	O
Festival	B-ACONTECIMENTO
de	O
Cannes	B-LOCAL
de	B-TEMPO
1994	I-TEMPO
?	O
Quantos	O
habitantes	O
tem	O
Catmandu	B-LOCAL
?	O
A	O
que	O
partido	O
político	O
pertence	O
Thérèse	B-PESSOA
Aillaud	I-PESSOA
?	O
Ela	O
é	O
deputada	O
por	O
que	O
região	O
?	O
Quem	O
foi	O
eleito	O
presidente	B-PESSOA
da	I-PESSOA
África	I-PESSOA
do	I-PESSOA
Sul	I-PESSOA
a	B-TEMPO
9	I-TEMPO
de	I-TEMPO
Maio	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Quem	O
se	O
tornou	O
líder	B-PESSOA
do	I-PESSOA
Partido	I-PESSOA
Trabalhista	I-PESSOA
britânico	O
a	B-TEMPO
21	I-TEMPO
de	I-TEMPO
Julho	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Quais	O
as	O
cinco	O
praias	O
do	O
desembarque	O
das	O
quais	O
um	O
industrial	O
comprou	O
200	B-VALOR
toneladas	I-VALOR
de	O
areia	O
para	O
comemorar	O
o	O
50º	B-VALOR
aniversário	O
do	O
Dia-D	B-ACONTECIMENTO
?	O
Quem	O
era	O
presidente	B-PESSOA
da	I-PESSOA
Comissão	I-PESSOA
Europeia	I-PESSOA
em	B-TEMPO
1995	I-TEMPO
?	O
Onde	O
é	O
que	O
Stephanie	B-PESSOA
do	O
Mónaco	B-LOCAL
e	O
Daniel	B-PESSOA
Ducruet	I-PESSOA
se	O
casaram	O
?	O
Quantas	O
pessoas	O
estavam	O
presentes	O
na	O
cerimónia	O
em	O
memória	O
do	O
escritor	O
Elias	B-PESSOA
Canetti	I-PESSOA
?	O
Qual	O
o	O
endereço	O
da	O
Delegação	B-LOCAL
de	I-LOCAL
Turismo	I-LOCAL
do	O
Sri	B-LOCAL
Lanka	I-LOCAL
?	O
Que	O
aconteceu	O
na	O
Argélia	B-LOCAL
na	B-TEMPO
noite	I-TEMPO
de	I-TEMPO
17	I-TEMPO
para	I-TEMPO
18	I-TEMPO
de	I-TEMPO
Agosto	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
Quantas	O
pessoas	O
morreram	O
no	O
terramoto	O
?	O
Quantos	O
quilómetros	O
são	O
de	O
Orão	B-LOCAL
a	O
Macara	B-LOCAL
?	O
Um	O
míssil	O
ASMP	B-COISA
é	O
quantas	O
vezes	O
mais	O
rápido	O
do	O
que	O
a	O
velocidade	O
do	O
som	O
?	O
O	O
que	O
é	O
a	O
FPLP	B-ORGANIZACAO
?	O
Quem	O
era	O
considerado	O
chefe	O
do	O
grupo	O
?	O
Em	O
que	O
país	O
fica	O
Beit	B-LOCAL
Liqya	I-LOCAL
?	O
A	O
que	O
cidade	O
chinesa	O
foi	O
Warren	B-PESSOA
Christopher	I-PESSOA
enviado	O
por	O
Bill	B-PESSOA
Clinton	I-PESSOA
para	O
apreciar	O
os	O
eventuais	O
progressos	O
relativos	O
aos	O
direitos	O
humanos	O
?	O
Quem	O
é	O
Sir	B-PESSOA
Winston	I-PESSOA
Churchill	I-PESSOA
?	O
Que	O
prémio	O
ganhou	O
o	O
filme	O
``	O
Pulp	B-OBRA
Fiction	I-OBRA
``	O
no	O
Festival	B-ACONTECIMENTO
de	O
Cannes	B-LOCAL
?	O
Quem	O
realizou	O
esse	O
filme	O
?	O
Quem	O
é	O
o	O
actor	O
principal	O
?	O
Quantos	O
habitantes	O
tem	O
a	O
União	B-LOCAL
Soviética	I-LOCAL
?	O
Quantos	O
poços	O
tiveram	O
que	O
ser	O
encerrados	O
após	O
a	O
ruptura	O
de	O
um	O
oleoduto	O
na	O
Sibéria	B-LOCAL
?	O
Onde	O
é	O
que	O
fica	O
o	O
aeroporto	O
de	O
Irkutsk	B-LOCAL
?	O
Que	O
dois	O
bancos	O
se	O
fundiram	O
para	O
formar	O
o	O
banco	O
Tokyo-Mitsubishi	B-ORGANIZACAO
?	O
Quantos	O
quilómetros	O
separam	O
Kikwit	B-LOCAL
de	O
Kinshasa	B-LOCAL
?	O
Em	O
que	O
filme	O
de	O
André	B-PESSOA
Cayatte	I-PESSOA
participou	O
Annie	B-PESSOA
Girardot	I-PESSOA
em	B-TEMPO
1971	I-TEMPO
?	O
De	O
que	O
doença	O
é	O
que	O
ela	O
sofre	O
desde	B-TEMPO
2006	I-TEMPO
?	O
Onde	O
é	O
que	O
ela	O
nasceu	O
?	O
O	O
que	O
é	O
a	O
aceleração	O
centrífuga	O
?	O
O	O
que	O
significa	O
a	O
sigla	O
WIA	B-ABSTRACCAO
?	O
Em	O
que	O
ano	O
foi	O
realizado	O
o	O
filme	O
``	O
Ace	B-OBRA
Ventura	I-OBRA
em	I-OBRA
África	I-OBRA
``	O
?	O
Que	O
vírus	O
atingiu	O
o	O
Zaire	B-LOCAL
?	O
O	O
que	O
é	O
Geographos	O
?	O
Que	O
avião	O
civil	O
efectuou	O
o	O
voo	O
mais	O
longo	O
sem	O
escalas	O
?	O
Onde	O
é	O
que	O
o	O
A340	B-COISA
levou	O
a	O
cabo	O
o	O
voo	O
mais	O
longo	O
sem	O
escalas	O
por	O
um	O
avião	O
civil	O
?	O
Quando	O
é	O
que	O
este	O
feito	O
foi	O
levado	O
a	O
cabo	O
?	O
Que	O
nome	O
se	O
dá	O
a	O
uma	O
inflamação	O
dos	O
gânglios	O
?	O
Quais	O
são	O
os	O
outros	O
três	O
nomes	O
do	O
Arsenal	B-ORGANIZACAO
Football	I-ORGANIZACAO
Club	I-ORGANIZACAO
?	O
Quando	O
é	O
que	O
este	O
clube	O
foi	O
fundado	O
?	O
Em	O
que	O
estádio	O
é	O
que	O
os	O
jogadores	O
do	O
Arsenal	B-PESSOA
têm	O
estado	O
a	O
treinar	O
desde	B-TEMPO
Agosto	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
?	O
Quantos	O
lugares	O
tem	O
o	O
estádio	O
?	O
Com	O
que	O
Prémio	B-OUTRO
Nobel	I-OUTRO
é	O
que	O
Seamus	B-PESSOA
Heaney	I-PESSOA
foi	O
galardoado	O
?	O
Quantos	O
estados	O
ratificaram	O
a	O
convenção	O
adoptada	O
pela	O
Assembleia	B-ORGANIZACAO
Geral	I-ORGANIZACAO
da	O
ONU	B-ORGANIZACAO
em	B-TEMPO
20	I-TEMPO
de	I-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
1989	I-TEMPO
?	O
Quem	O
é	O
Arsène	B-PESSOA
Wenger	I-PESSOA
?	O
De	O
que	O
equipa	O
é	O
que	O
ele	O
se	O
tornou	O
treinador	O
em	B-TEMPO
1987	I-TEMPO
?	O
Em	O
que	O
ano	O
foi	O
fundada	O
a	O
firma	O
Adidas	B-ORGANIZACAO
Group	I-ORGANIZACAO
AG	I-ORGANIZACAO
?	O
Qual	O
é	O
a	O
sua	O
área	O
de	O
trabalho	O
?	O
Qual	O
é	O
a	O
altitude	O
do	O
Monte	B-LOCAL
Rosa	I-LOCAL
?	O
Quantos	O
litros	O
de	O
azeite	O
são	O
comercializados	O
por	B-TEMPO
ano	I-TEMPO
pela	O
EBS	B-ORGANIZACAO
?	O
De	O
que	O
país	O
é	O
Kim	B-PESSOA
Il	I-PESSOA
Sung	I-PESSOA
presidente	O
?	O
As	O
amêndoas	O
são	O
o	O
fruto	O
de	O
que	O
árvore	O
?	O
De	O
onde	O
é	O
que	O
ela	O
é	O
originária	O
?	O
Quem	O
é	O
Charles-Ange	B-PESSOA
Ginésy	I-PESSOA
?	O
De	O
que	O
município	O
é	O
que	O
ele	O
também	O
é	O
presidente	O
?	O
Em	O
que	O
grupo	O
político	O
é	O
que	O
ele	O
tem	O
assento	O
?	O
O	O
que	O
é	O
a	O
febre-amarela	O
?	O
Que	O
ferry-boat	O
famoso	O
naufragou	O
no	O
Mar	B-LOCAL
Báltico	I-LOCAL
?	O
Em	O
que	O
país	O
teve	O
lugar	O
a	O
cimeira	O
dos	O
G7	B-ORGANIZACAO
em	B-TEMPO
Julho	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
A	O
que	O
horas	O
ocorreu	O
o	O
acidente	O
no	O
metro	O
de	O
Valência	B-LOCAL
a	B-TEMPO
3	I-TEMPO
de	I-TEMPO
Julho	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
?	O
Quantos	O
mortos	O
causou	O
esse	O
acidente	O
?	O
A	O
que	O
velocidade	O
circulava	O
o	O
metro	O
?	O
Quando	O
é	O
que	O
a	O
Tanzânia	B-LOCAL
fechou	O
as	O
fronteiras	O
aos	O
refugiados	O
do	O
Ruanda	B-LOCAL
?	O
Que	O
slalom	O
é	O
que	O
Alberto	B-PESSOA
Tomba	I-PESSOA
ganhou	O
a	B-TEMPO
6	I-TEMPO
de	I-TEMPO
Fevereiro	I-TEMPO
de	I-TEMPO
1994	I-TEMPO
?	O
O	O
que	O
é	O
``	O
Ace	B-PESSOA
of	I-PESSOA
Base	I-PESSOA
``	O
?	O
De	O
que	O
cidade	O
é	O
este	O
grupo	O
?	O
Quem	O
são	O
os	O
quatro	O
membros	O
que	O
compõem	O
o	O
grupo	O
?	O
Qual	O
é	O
o	O
arranha-céus	O
mais	O
alto	O
do	O
mundo	O
?	O
O	O
que	O
é	O
Asandros	B-PESSOA
?	O
Quem	O
é	O
o	O
irmão	O
dele	O
?	O
Onde	O
é	O
que	O
Danny	B-PESSOA
Barker	I-PESSOA
morreu	O
?	O
Quem	O
foi	O
nomeado	O
presidente	B-PESSOA
da	I-PESSOA
SNCF	I-PESSOA
em	B-TEMPO
20	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
de	I-TEMPO
1995	I-TEMPO
?	O
Que	O
quatro	O
planetas	O
do	O
sistema	O
solar	O
são	O
compostos	O
principalmente	O
de	O
gás	O
?	O
Diga	O
um	O
corpo	O
celeste.	O
De	O
que	O
é	O
que	O
é	O
composta	O
a	O
atmosfera	O
da	O
Lua	B-COISA
?	O
Em	O
informática	O
,	O
o	O
que	O
é	O
Alien	B-COISA
?	O
Qual	O
é	O
a	O
principal	O
companhia	O
de	O
aviação	O
em	O
França	B-LOCAL
?	O
Que	O
cinco	O
companhias	O
de	O
aviação	O
que	O
se	O
fundiram	O
em	B-TEMPO
1933	I-TEMPO
para	O
criar	O
a	O
Air	B-ORGANIZACAO
France	I-ORGANIZACAO
?	O
Em	O
quantos	O
países	O
os	O
aviões	O
da	O
Air	B-ORGANIZACAO
France	I-ORGANIZACAO
fazem	O
os	O
seus	O
1800	B-VALOR
voos	O
diários	O
?	O
Que	O
companhia	O
detém	O
100	B-VALOR
%	I-VALOR
do	O
capital	O
da	O
Air	B-ORGANIZACAO
France	I-ORGANIZACAO
?	O
Que	O
conto	O
célebre	O
de	O
Hans	B-PESSOA
Christian	I-PESSOA
Andersen	I-PESSOA
é	O
a	O
adaptação	O
do	O
conto	O
``	O
Aladino	B-OBRA
e	I-OBRA
a	I-OBRA
Lâmpada	I-OBRA
Mágica	I-OBRA
``	O
?	O
O	O
que	O
é	O
a	O
AIEA	B-ORGANIZACAO
?	O
Que	O
prémio	O
é	O
recebeu	O
em	B-TEMPO
2005	I-TEMPO
?	O
Em	O
que	O
cidade	O
podemos	O
encontrar	O
essa	O
agência	O
?	O
Qual	O
foi	O
o	O
seu	O
orçamento	O
para	B-TEMPO
o	I-TEMPO
ano	I-TEMPO
de	I-TEMPO
2004	I-TEMPO
?	O
Quando	O
é	O
que	O
Thierry	B-PESSOA
Henry	I-PESSOA
ganhou	O
o	O
campeonato	O
do	O
mundo	O
de	O
râguebi	O
?	O
O	O
que	O
é	O
a	O
MNEF	B-ORGANIZACAO
?	O
Quando	O
é	O
que	O
chegou	O
ao	O
fim	O
o	O
último	O
julgamento	O
sobre	O
o	O
escândalo	O
da	O
MNEF	B-ORGANIZACAO
?	O
Segundo	O
Jean	B-PESSOA
Michel	I-PESSOA
Grosz	I-PESSOA
,	O
que	O
organização	O
foi	O
criada	O
no	O
seu	O
escritório	O
?	O
Qual	O
era	O
a	O
altura	O
de	O
Marylin	B-PESSOA
Monroe	I-PESSOA
?	O
Que	O
vaivém	O
pôs	O
a	O
sonda	O
espacial	O
Ulisses	B-COISA
em	O
órbita	O
?	O
Que	O
idade	O
tinha	O
Grégory	B-PESSOA
Villemin	I-PESSOA
quando	O
o	O
seu	O
corpo	O
foi	O
encontrado	O
?	O
Quem	O
era	O
Bernard	B-PESSOA
Laroche	I-PESSOA
?	O
Que	O
juiz	O
acusou	O
Christine	B-PESSOA
Villemin	I-PESSOA
?	O
O	O
que	O
é	O
Alcatel	B-ORGANIZACAO
?	O
Que	O
companhia	O
foi	O
criada	O
por	O
Pierre	B-PESSOA
Azaria	I-PESSOA
em	B-TEMPO
1898	I-TEMPO
?	O
Com	O
que	O
grupo	O
a	O
Alcatel	B-ORGANIZACAO
anunciou	O
a	O
fusão	O
em	B-TEMPO
Março	I-TEMPO
de	I-TEMPO
2006	I-TEMPO
?	O
Quem	O
era	O
o	O
director-geral	B-PESSOA
da	I-PESSOA
Alcatel	I-PESSOA
de	B-TEMPO
1986	I-TEMPO
a	I-TEMPO
1995	I-TEMPO
?	O
O	O
que	O
é	O
Assédic	O
?	O
Quando	O
é	O
que	O
saiu	O
o	O
rimeiro	O
Álbum	B-COISA
da	O
cantora	O
americana	O
Anastacia	B-PESSOA
?	O
Desde	O
a	O
saída	O
do	O
seu	O
primeiro	O
álbum	O
,	O
quantos	O
discos	O
é	O
que	O
Anastacia	B-PESSOA
vendeu	O
?	O
Quando	O
é	O
que	O
Jacques	B-PESSOA
Chirac	I-PESSOA
foi	O
assassinado	O
?	O
Que	O
jogador	O
espanhol	O
ganhou	O
Roland	B-ACONTECIMENTO
Garros	I-ACONTECIMENTO
em	B-TEMPO
1994	I-TEMPO
?	O
Quantos	O
habitantes	O
tem	O
a	O
Alemanha	B-LOCAL
?	O
Quantos	O
quilómetros	O
de	O
ferrovia	O
tinha	O
a	O
Alemanha	B-LOCAL
em	B-TEMPO
1998	I-TEMPO
?	O
Em	B-TEMPO
Novembro	I-TEMPO
de	I-TEMPO
2005	I-TEMPO
,	O
qual	O
a	O
taxa	O
de	O
desemprego	O
na	O
